#Null title                                                       Feff  7.023
#Abs   Z=26 Rmt= 1.051 Rnm= 1.392 K  shell
#Pot 1 Z=82 Rmt= 1.857 Rnm= 2.049
#Pot 2 Z=26 Rmt= 1.083 Rnm= 1.447
#Pot 3 Z= 8 Rmt= 0.908 Rnm= 1.149
#Gam_ch=1.325E+00 H-L exch
#Mu=-2.461E+00 kf=1.865E+00 Vint=-1.571E+01 Rs_int= 1.945
#Path    4      icalc       2
#-----------------------------------------------------------------------
#  2   3.000   3.4059    2.7308   -2.46052 nleg, deg, reff, rnrmav(bohr), edge
#       x         y         z   pot at#
#    0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
#   -3.4023    0.0000   -0.1554  1  82 Pb
#   k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  8.500 -2.6173E+00  4.6752E-01 -5.1376E+00  9.732E-01  1.3612E+01  8.5997E+00
  9.000 -2.8691E+00  4.5848E-01 -5.0578E+00  9.609E-01  1.4737E+01  9.0911E+00
  9.500 -3.1082E+00  4.2300E-01 -4.9405E+00  9.506E-01  1.5903E+01  9.5837E+00
 10.000 -3.3310E+00  3.9704E-01 -4.7287E+00  9.423E-01  1.7109E+01  1.0077E+01
 10.500 -3.5389E+00  3.9488E-01 -4.5603E+00  9.360E-01  1.8353E+01  1.0572E+01
 12.000 -4.1176E+00  4.3264E-01 -4.1372E+00  9.292E-01  2.2302E+01  1.2059E+01
 13.000 -4.4792E+00  4.7308E-01 -4.0163E+00  9.279E-01  2.5106E+01  1.3052E+01
 14.000 -4.8038E+00  5.2628E-01 -3.9617E+00  9.265E-01  2.8039E+01  1.4047E+01
 15.000 -5.0992E+00  5.4430E-01 -3.9980E+00  9.270E-01  3.1096E+01  1.5042E+01
 16.000 -5.3838E+00  5.1588E-01 -4.0287E+00  9.288E-01  3.4272E+01  1.6039E+01
 17.000 -5.6499E+00  5.1505E-01 -3.9539E+00  9.296E-01  3.7563E+01  1.7036E+01
 18.000 -5.8909E+00  5.1194E-01 -3.8283E+00  9.300E-01  4.0963E+01  1.8033E+01
 19.000 -6.1212E+00  4.8054E-01 -2.8256E+00  9.311E-01  4.4471E+01  1.9031E+01
 20.000 -6.3438E+00  5.1921E-01  3.3178E-01  9.318E-01  4.8082E+01  2.0028E+01
 21.000 -6.5489E+00  5.0903E-01  7.5275E-01  9.320E-01  5.1793E+01  2.1027E+01
