# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline      ee        chie
  7111.9186      -0.60274265E-01  -0.60274265E-01  -0.15208989        1.2570073       -10.081400        0.0000000
  7112.3583      -0.53379949E-01  -0.53379949E-01  -0.15234170        1.2564635       -9.6417000        0.0000000
  7112.6693      -0.47609055E-01  -0.47609055E-01  -0.15251983        1.2560788       -9.3307000        0.0000000
  7112.9374      -0.41369414E-01  -0.41369414E-01  -0.15267341        1.2557473       -9.0626000        0.0000000
  7113.3772      -0.34623186E-01  -0.34623186E-01  -0.15292529        1.2552036       -8.6228000        0.0000000
  7113.8278      -0.30176765E-01  -0.30176765E-01  -0.15318336        1.2546468       -8.1722000        0.0000000
  7114.2462      -0.23621269E-01  -0.23621269E-01  -0.15342302        1.2541298       -7.7538000        0.0000000
  7114.5789      -0.13749109E-01  -0.13749109E-01  -0.15361354        1.2537190       -7.4211000        0.0000000
  7114.9008      -0.24494087E-02  -0.24494087E-02  -0.15379793        1.2533214       -7.0992000        0.0000000
  7115.3194       0.16936533E-01   0.16936533E-01  -0.15403767        1.2528047       -6.6806000        0.0000000
  7115.8132       0.45836189E-01   0.45836189E-01  -0.15432047        1.2521953       -6.1868000        0.0000000
  7116.2426       0.75197507E-01   0.75197507E-01  -0.15456642        1.2516656       -5.7574000        0.0000000
  7116.6721       0.11009566       0.11009566      -0.15481241        1.2511359       -5.3279000        0.0000000
  7116.9728       0.14427841       0.14427841      -0.15498461        1.2507652       -5.0272000        0.0000000
  7117.2627       0.19080203       0.19080203      -0.15515068        1.2504077       -4.7373000        0.0000000
  7117.7783       0.26433047       0.26433047      -0.15544595        1.2497724       -4.2217000        0.0000000
  7118.2402       0.33439169       0.33439169      -0.15571050        1.2492033       -3.7598000        0.0000000
  7118.6270       0.40469157       0.40469157      -0.15593201        1.2487270       -3.3730000        0.0000000
  7118.9708       0.46594703       0.46594703      -0.15612893        1.2483037       -3.0292000        0.0000000
  7119.2931       0.51933041       0.51933041      -0.15631356        1.2479068       -2.7069000        0.0000000
  7119.7660       0.59593646       0.59593646      -0.15658438        1.2473249       -2.2340000        0.0000000
  7120.2067       0.65853366       0.65853366      -0.15683677        1.2467828       -1.7933000        0.0000000
  7120.6367       0.71506333       0.71506333      -0.15708304        1.2462540       -1.3633000        0.0000000
  7121.0344       0.76685939       0.76685939      -0.15731086        1.2457649      -0.96560000        0.0000000
  7121.3247       0.81331120       0.81331120      -0.15747713        1.2454081      -0.67530000        0.0000000
  7121.6473       0.88132224       0.88132224      -0.15766189        1.2450116      -0.35270000        0.0000000
  7122.0990       0.96982546       0.96982546      -0.15792058        1.2444567       0.99000000E-01    0.0000000
  7122.5507        1.0609442        1.0609442      -0.15817930        1.2439019       0.55070000        0.0000000
  7122.9272        1.1520083        1.1309221      -0.15839493        1.2434396       0.92720000       0.21086200E-01
  7123.2500        1.2277466        1.1316493      -0.15857977        1.2430435        1.2500000       0.96097300E-01
  7123.5943        1.3064567        1.1324140      -0.15877696        1.2426209        1.5943000       0.17404270
  7124.0785        1.3897857        1.1334703      -0.15905429        1.2420269        2.0785000       0.25631540
  7124.5412        1.4488121        1.1344589      -0.15931933        1.2414593        2.5412000       0.31435320
  7124.9718        1.4916355        1.1353604      -0.15956590        1.2409314        2.9718000       0.35627510
  7125.3377        1.5253895        1.1361131      -0.15977552        1.2404828        3.3377000       0.38927640
  7125.6392        1.5576798        1.1367236      -0.15994816        1.2401134        3.6392000       0.42095620
  7125.9945        1.6054069        1.1374325      -0.16015165        1.2396781        3.9945000       0.46797440
  7126.5329        1.6685989        1.1384844      -0.16046001        1.2390187        4.5329000       0.53011450
  7126.9744        1.7280946        1.1393272      -0.16071291        1.2384781        4.9744000       0.58876740
  7127.3191        1.7788395        1.1399729      -0.16091031        1.2380563        5.3191000       0.63886660
  7127.6315        1.8158746        1.1405488      -0.16108922        1.2376740        5.6315000       0.67532580
  7127.9977        1.8452568        1.1412129      -0.16129900        1.2372259        5.9977000       0.70404390
  7128.5149        1.8495809        1.1421302      -0.16159520        1.2365934        6.5149000       0.70745070
  7128.9244        1.8256022        1.1428397      -0.16182972        1.2360927        6.9244000       0.68276250
  7129.3555        1.7821155        1.1435708      -0.16207661        1.2355658        7.3555000       0.63854470
  7129.7111        1.7332258        1.1441617      -0.16228032        1.2351312        7.7111000       0.58906410
  7129.9806        1.6808437        1.1446022      -0.16243467        1.2348020        7.9806000       0.53624150
  7130.3903        1.5977283        1.1452598      -0.16266929        1.2343017        8.3903000       0.45246850
  7130.8539        1.5268502        1.1459867      -0.16293482        1.2337356        8.8539000       0.38086350
  7131.2852        1.4647408        1.1466467      -0.16318185        1.2332091        9.2852000       0.31809410
  7131.6087        1.4147310        1.1471314      -0.16336715        1.2328143        9.6087000       0.26759960
  7131.9323        1.3753900        1.1476074      -0.16355246        1.2324196        9.9323000       0.22778260
  7132.3314        1.3349634        1.1481825      -0.16378104        1.2319328        10.331400       0.18678090
  7132.8384        1.2963582        1.1488943      -0.16407143        1.2313146        10.838400       0.14746390
  7133.2484        1.2711328        1.1494545      -0.16430625        1.2308149        11.248400       0.12167830
  7133.6585        1.2517658        1.1500011      -0.16454110        1.2303153        11.658500       0.10176470
  7134.0146        1.2359428        1.1504648      -0.16474506        1.2298814        12.014600       0.85478000E-01
  7134.3060        1.2211765        1.1508367      -0.16491196        1.2295265        12.306000       0.70339800E-01
  7134.7701        1.1994605        1.1514152      -0.16517779        1.2289614        12.770100       0.48045300E-01
  7135.2559        1.1813965        1.1520025      -0.16545603        1.2283701        13.255900       0.29394000E-01
  7135.6770        1.1658542        1.1524967      -0.16569720        1.2278577        13.677000       0.13357500E-01
  7135.9902        1.1533380        1.1528553      -0.16587655        1.2274768        13.990200       0.48270000E-03
  7136.3141        1.1429410        1.1532183      -0.16606210        1.2270828        14.314100      -0.10277300E-01
  7136.7570        1.1317763        1.1537016      -0.16631571        1.2265444        14.757000      -0.21925300E-01
  7137.2322        1.1234352        1.1542038      -0.16658792        1.2259668        15.232200      -0.30768600E-01
  7137.6428        1.1194838        1.1546240      -0.16682304        1.2254680        15.642800      -0.35140200E-01
  7138.0533        1.1183458        1.1550317      -0.16705819        1.2249692        16.053300      -0.36685900E-01
  7138.3667        1.1192256        1.1553345      -0.16723766        1.2245887        16.366700      -0.36108900E-01
  7138.6801        1.1232701        1.1556301      -0.16741715        1.2242082        16.680100      -0.32360000E-01
  7139.1016        1.1326786        1.1560165      -0.16765856        1.2236966        17.101600      -0.23337900E-01
  7139.5880        1.1450271        1.1564465      -0.16793715        1.2231064        17.588000      -0.11419400E-01
  7139.9664        1.1576786        1.1567693      -0.16815385        1.2226474        17.966400       0.90930000E-03
  7140.3015        1.1711663        1.1570467      -0.16834581        1.2222410        18.301500       0.14119600E-01
  7140.6043        1.1846449        1.1572906      -0.16851921        1.2218739        18.604300       0.27354300E-01
  7141.1017        1.2032606        1.1576774      -0.16880411        1.2212710        19.101700       0.45583200E-01
  7141.5451        1.2161074        1.1580079      -0.16905808        1.2207337        19.545100       0.58099500E-01
  7141.9670        1.2251375        1.1583098      -0.16929969        1.2202227        19.967000       0.66827700E-01
