# data from ifeffit
#------------------------
#   energy        xmuf
  6962.0000       0.61643566E-03
  6972.0000       0.32745351E-03
  6982.0000      -0.11709575E-03
  6992.0000      -0.46658521E-06
  7002.0000      -0.24582221E-03
  7012.0000      -0.62400041E-03
  7022.0000      -0.32188008E-03
  7032.0000      -0.43976413E-03
  7042.0000      -0.13188133E-03
  7052.0000      -0.46441028E-04
  7062.0000       0.32400787E-03
  7072.0000       0.65945446E-03
  7082.0000       0.16087140E-02
  7092.0000       0.34784736E-02
  7092.5000       0.36041546E-02
  7093.0000       0.39853422E-02
  7093.5000       0.39489301E-02
  7094.0000       0.41601808E-02
  7094.5000       0.42419598E-02
  7095.0000       0.44648230E-02
  7095.5000       0.49836700E-02
  7096.0000       0.49163732E-02
  7096.5000       0.50502528E-02
  7097.0000       0.52083061E-02
  7097.5000       0.55107409E-02
  7098.0000       0.58480790E-02
  7098.5000       0.61309132E-02
  7099.0000       0.63935859E-02
  7099.5000       0.63298641E-02
  7100.0000       0.66381950E-02
  7100.5000       0.67898310E-02
  7101.0000       0.73814977E-02
  7101.5000       0.73353202E-02
  7102.0000       0.77900730E-02
  7102.5000       0.80446682E-02
  7103.0000       0.89642812E-02
  7103.5000       0.90206988E-02
  7104.0000       0.95357776E-02
  7104.5000       0.99227270E-02
  7105.0000       0.10637270E-01
  7105.5000       0.11064678E-01
  7106.0000       0.11396992E-01
  7106.5000       0.12341063E-01
  7107.0000       0.13089776E-01
  7107.5000       0.14054239E-01
  7108.0000       0.15131336E-01
  7108.5000       0.16186594E-01
  7109.0000       0.17790227E-01
  7109.5000       0.19616304E-01
  7110.0000       0.22396404E-01
  7110.5000       0.26893758E-01
  7111.0000       0.33619570E-01
  7111.5000       0.43854067E-01
  7112.0000       0.59579927E-01
  7112.5000       0.83418801E-01
  7113.0000       0.10308955
  7113.5000       0.10651906
  7114.0000       0.99440038E-01
  7114.5000       0.90965628E-01
  7115.0000       0.86593560E-01
  7115.5000       0.85677469E-01
  7116.0000       0.88619004E-01
  7116.5000       0.94899231E-01
  7117.0000       0.10541332
  7117.5000       0.12255750
  7118.0000       0.14358892
  7118.5000       0.17389078
  7119.0000       0.21226709
  7119.5000       0.25772093
  7120.0000       0.31405734
  7120.5000       0.37028007
  7121.0000       0.42521540
  7121.5000       0.48373324
  7122.0000       0.53952504
  7122.5000       0.60066517
  7123.0000       0.67004998
  7123.5000       0.73859028
  7124.0000       0.80674938
  7124.5000       0.87112299
  7125.0000       0.92672169
  7125.5000       0.97795355
  7126.0000        1.0230853
  7126.5000        1.0657443
  7127.0000        1.1171584
  7127.5000        1.1759012
  7128.0000        1.2371062
  7128.5000        1.3009802
  7129.0000        1.3540764
  7129.5000        1.3904530
  7130.0000        1.4074903
  7130.5000        1.4074714
  7131.0000        1.3973943
  7131.5000        1.3811745
  7132.0000        1.3633806
  7132.8830        1.3213327
  7133.7850        1.2716667
  7134.7070        1.2302301
  7135.6470        1.2034920
  7136.6060        1.1861552
  7137.5840        1.1693268
  7138.5820        1.1477809
  7139.5990        1.1243797
  7140.6340        1.1044275
  7141.6890        1.0948143
  7142.7630        1.0970952
  7143.8560        1.1017102
  7144.9680        1.1030976
  7146.0990        1.0945275
  7147.2490        1.0705068
  7148.4180        1.0354889
  7149.6060        1.0021636
  7150.8140       0.97718610
  7152.0410       0.95944884
  7153.2860       0.94455963
  7154.5510       0.93124837
  7155.8340       0.91637760
  7157.1370       0.90311521
  7158.4590       0.89470092
  7159.8000       0.89167764
  7161.1600       0.89451641
  7162.5390       0.90053234
  7163.9370       0.90760428
  7165.3540       0.91759966
  7166.7910       0.93010248
  7168.2460       0.94589103
  7169.7200       0.96449852
  7171.2140       0.98442019
  7172.7260        1.0059097
