# data from ifeffit
#------------------------
#   energy     xmuf
  7437.7090       0.86390205
  7441.2440       0.87208315
  7444.7980       0.88144080
  7448.3710       0.88858637
  7451.9620       0.89228094
  7455.5740       0.89283842
  7459.2040       0.89208615
  7462.8530       0.88868655
  7466.5210       0.88233325
  7470.2080       0.87421367
  7473.9150       0.86559356
  7477.6400       0.85959848
  7481.3850       0.85455269
  7485.1480       0.84779728
  7488.9310       0.84072684
  7492.7330       0.83542602
  7496.5540       0.83446371
  7500.3940       0.83577726
  7504.2530       0.83843990
  7508.1310       0.83961704
  7512.0280       0.83959332
  7515.9440       0.83801919
  7519.8790       0.83729532
  7523.8340       0.83728582
  7527.8070       0.83834360
  7531.8000       0.83918877
  7535.8120       0.83961122
  7539.8420       0.83850468
  7543.8920       0.83706056
  7547.9610       0.83637058
  7552.0490       0.83730051
  7556.1560       0.84011112
  7560.2820       0.84356271
  7564.4270       0.84494059
  7568.5910       0.84420914
  7572.7740       0.84094112
  7576.9770       0.83527926
  7581.1980       0.82986392
  7585.4390       0.82529469
  7589.6980       0.82261878
  7593.9770       0.82163230
  7598.2750       0.82192262
  7602.5920       0.82140308
  7606.9280       0.81969681
  7611.2830       0.81706181
  7615.6570       0.81540632
  7620.0500       0.81535881
  7624.4620       0.81628227
  7628.8940       0.81623196
  7633.3440       0.81505421
  7637.8130       0.81227408
  7642.3020       0.80948884
  7646.8100       0.80705583
  7651.3360       0.80588487
  7655.8820       0.80520128
  7660.4470       0.80516087
  7665.0300       0.80613889
  7669.6340       0.80730975
  7674.2550       0.80824662
  7678.8960       0.80923931
  7683.5570       0.80953704
  7688.2360       0.80859693
  7692.9350       0.80655927
  7697.6520       0.80481433
  7702.3890       0.80344655
  7707.1440       0.80200145
  7711.9190       0.79947297
  7716.7120       0.79755129
  7721.5250       0.79575873
  7726.3570       0.79474155
  7731.2080       0.79409551
  7736.0780       0.79326942
  7740.9670       0.79280207
  7745.8750       0.79192322
  7750.8030       0.79137957
  7755.7500       0.79107923
  7760.7150       0.78959699
  7765.6990       0.78804872
  7770.7030       0.78639078
  7775.7260       0.78510743
  7780.7670       0.78403015
  7785.8280       0.78321858
  7790.9080       0.78232823
  7796.0070       0.78186207
  7801.1250       0.78153732
  7806.2620       0.78151211
  7811.4180       0.78095836
  7816.5940       0.78111854
  7821.7880       0.78024871
  7827.0010       0.77997405
  7832.2340       0.77939613
  7837.4850       0.77905602
  7842.7560       0.77851897
  7848.0460       0.77763992
  7853.3540       0.77700212
  7858.6830       0.77590855
  7864.0300       0.77483610
  7869.3960       0.77362526
  7874.7810       0.77248040
  7880.1850       0.77115235
  7885.6080       0.77017744
  7891.0510       0.76945240
  7896.5120       0.76852257
  7901.9920       0.76766492
  7907.4920       0.76671940
  7913.0110       0.76603499
  7918.5480       0.76514090
  7924.1050       0.76466878
  7929.6810       0.76395255
  7935.2760       0.76348451
  7940.8900       0.76344283
  7946.5230       0.76309972
  7952.1750       0.76247303
  7957.8470       0.76222999
  7963.5370       0.76165532
  7969.2470       0.76099148
