# data from ifeffit
#------------------------
#   energy        xmuf
  7423.7610        1.1192709
  7427.2200        1.1170038
  7430.6970        1.1168922
  7434.1940        1.1140899
  7437.7090        1.1103112
  7441.2440        1.1103061
  7444.7980        1.1090523
  7448.3710        1.1074464
  7451.9620        1.1079222
  7455.5740        1.1115489
  7459.2040        1.1169048
  7462.8530        1.1199610
  7466.5210        1.1247130
  7470.2080        1.1289187
  7473.9150        1.1330226
  7477.6400        1.1373493
  7481.3850        1.1419316
  7485.1480        1.1451483
  7488.9310        1.1457395
  7492.7330        1.1485155
  7496.5540        1.1510898
  7500.3940        1.1526180
  7504.2530        1.1542138
  7508.1310        1.1561811
  7512.0280        1.1605224
  7515.9440        1.1616816
  7519.8790        1.1639811
  7523.8340        1.1657695
  7527.8070        1.1681407
  7531.8000        1.1734686
  7535.8120        1.1758031
  7539.8420        1.1805768
  7543.8920        1.1844003
  7547.9610        1.1872885
  7552.0490        1.1910698
  7556.1560        1.1930239
  7560.2820        1.1952513
  7564.4270        1.1989693
  7568.5910        1.2024478
  7572.7740        1.2059688
  7576.9770        1.2108121
  7581.1980        1.2145588
  7585.4390        1.2157412
  7589.6980        1.2235483
  7593.9770        1.2237308
  7598.2750        1.2292721
  7602.5920        1.2316675
  7606.9280        1.2353383
  7611.2830        1.2406184
  7615.6570        1.2464535
  7620.0500        1.2495172
  7624.4620        1.2536829
  7628.8940        1.2602744
  7633.3440        1.2626376
  7637.8130        1.2675489
  7642.3020        1.2684749
  7646.8100        1.2723875
  7651.3360        1.2772284
  7655.8820        1.2799589
  7660.4470        1.2823936
  7665.0300        1.2870721
  7669.6340        1.2930354
  7674.2550        1.2997673
  7678.8960        1.3061243
  7683.5570        1.3137807
  7688.2360        1.3197526
  7692.9350        1.3228121
  7697.6520        1.3295178
  7702.3890        1.3361614
  7707.1440        1.3401783
  7711.9190        1.3452967
  7716.7120        1.3507417
  7721.5250        1.3561038
  7726.3570        1.3593218
  7731.2080        1.3681746
  7736.0780        1.3719499
  7740.9670        1.3778155
  7745.8750        1.3853570
  7750.8030        1.3901241
  7755.7500        1.3939525
  7760.7150        1.4009251
  7765.6990        1.4050581
  7770.7030        1.4110024
  7775.7260        1.4171354
  7780.7670        1.4239430
  7785.8280        1.4309163
  7790.9080        1.4392026
  7796.0070        1.4419093
  7801.1250        1.4507378
  7806.2620        1.4557592
  7811.4180        1.4627220
  7816.5940        1.4707048
  7821.7880        1.4781442
  7827.0010        1.4826820
  7832.2340        1.4892353
  7837.4850        1.4959341
  7842.7560        1.5056283
  7848.0460        1.5126768
  7853.3540        1.5194837
  7858.6830        1.5266118
  7864.0300        1.5340454
  7869.3960        1.5412671
  7874.7810        1.5507483
  7880.1850        1.5593508
  7885.6080        1.5668172
  7891.0510        1.5736707
  7896.5120        1.5832637
  7901.9920        1.5914585
  7907.4920        1.5988348
  7913.0110        1.6066154
  7918.5480        1.6124372
  7924.1050        1.6209123
  7929.6810        1.6279095
  7935.2760        1.6372933
  7940.8900        1.6462273
  7946.5230        1.6571556
  7952.1750        1.6638362
  7957.8470        1.6744999
  7963.5370        1.6830376
  7969.2470        1.6915652
