 #  IZ, Atomic weight , K, L1, L2, L3, M,  Ka1, Kb1, La1, Lb1
 65 158.930  51.996  8.708  8.252  7.515 1.967  44.470  50.391  6.495  7.249
 66 162.510  53.789  9.047  8.581  7.790 2.046  45.985  52.178  6.720  7.528
 67 164.940  55.618  9.395  8.919  8.071 2.127  47.528  53.934  6.948  7.810
 68 167.270  57.486  9.752  9.265  8.358 2.212  49.099  55.690  7.181  8.103
 69 168.940  59.390 10.116  9.618  8.648 2.307  50.730  57.576  7.181  8.103
 70 173.040  61.332 10.488  9.978  8.943 2.398  52.360  59.352  7.414  8.401
 71 174.990  63.314 10.870 10.349  9.244 2.492  54.063  61.282  7.654  8.708
 72 178.500  65.351 11.272 10.739  9.561 2.602  55.757  63.209  7.898  9.021
 73 180.950  67.414 11.680 11.136  9.881 2.703  57.524  65.210  8.145  9.341
 74 183.920  69.524 12.098 11.542 10.204 2.818  59.310  67.233  8.396  9.670
 75 186.200  71.676 12.525 11.957 10.534 2.931  61.131  69.298  8.651 10.008
 76 190.200  73.872 12.964 12.384 10.871 3.050  62.991  71.404  8.910 10.354
 77 192.200  76.112 13.424 12.824 11.215 3.172  64.886  73.549  9.173 10.706
 78 195.090  78.395 13.892 13.273 11.564 3.297  66.820  75.736  9.441 11.069
 79 197.200  80.723 14.353 13.733 11.918 3.425  68.779  77.968  9.711 11.439
 80 200.610  83.103 14.846 14.209 12.284 3.562  70.821  80.258  9.987 11.823
 81 204.390  85.528 15.344 14.698 12.657 3.700  72.860  82.558 10.266 12.210
 82 207.210  88.006 15.860 15.198 13.035 3.850  74.957  84.922 10.549 12.611
 83 209.000  90.527 16.385 15.708 13.418 3.999  77.097  87.335 10.836 13.021
 86 222.000  98.417 18.055 17.334 14.612 4.478  83.800  94.877 11.724 14.316
 90 232.000 109.649 20.470 19.692 16.300 5.182  93.334 105.592 12.966 16.200
 92 238.070 115.603 21.756 20.947 17.167 5.549  98.428 111.289 13.613 17.218
 94 239.100 121.760 23.095 22.263 18.053 5.914 103.653 117.146 14.279 18.278
