# data from ifeffit
# kmin =    2.5000000     
# kmax =    13.000000     
# dk1 =    1.5000000     
# dk2 =    1.5000000     
# kweight =    2.0000000     
# rmin =   0.90000000     
# rmax =    2.0000000     
# dr1 =   0.20000000     
# dr2 =   0.20000000     
#------------------------
#   r         chir_mag      chir_re      rwin
  5.0007774       0.19379552       0.26945430E-01    0.0000000
  5.0314570       0.17873678      -0.47116715E-01    0.0000000
  5.0621366       0.16447921      -0.10146166        0.0000000
  5.0928162       0.15131816      -0.13119220        0.0000000
  5.1234958       0.13956189      -0.13784895        0.0000000
  5.1541754       0.12961958      -0.12746644        0.0000000
  5.1848551       0.12208413      -0.10759611        0.0000000
  5.2155347       0.11774355      -0.84371947E-01    0.0000000
  5.2462143       0.11743608      -0.60576680E-01    0.0000000
  5.2768939       0.12174012      -0.35281417E-01    0.0000000
  5.3075735       0.13067610      -0.51117497E-02    0.0000000
  5.3382531       0.14365470       0.33327771E-01    0.0000000
  5.3689328       0.15967056       0.80738443E-01    0.0000000
  5.3996124       0.17754130       0.13315831        0.0000000
  5.4302920       0.19606050       0.18163244        0.0000000
  5.4609716       0.21406790       0.21394222        0.0000000
  5.4916512       0.23048199       0.21810125        0.0000000
  5.5223308       0.24432571       0.18659279        0.0000000
  5.5530105       0.25475609       0.11985797        0.0000000
  5.5836901       0.26109768       0.27596352E-01    0.0000000
  5.6143697       0.26287572      -0.72916577E-01    0.0000000
  5.6450493       0.25984430      -0.16123125        0.0000000
  5.6757289       0.25200550      -0.21950188        0.0000000
  5.7064085       0.23961717      -0.23765715        0.0000000
  5.7370881       0.22318861      -0.21609805        0.0000000
  5.7677678       0.20346610      -0.16494002        0.0000000
  5.7984474       0.18141227      -0.10012920        0.0000000
  5.8291270       0.15818645      -0.37959027E-01    0.0000000
  5.8598066       0.13513413       0.99192458E-02    0.0000000
  5.8904862       0.11378688       0.39204278E-01    0.0000000
  5.9211658       0.95833872E-01   0.52611108E-01    0.0000000
  5.9518455       0.82909291E-01   0.57019567E-01    0.0000000
  5.9825251       0.75950107E-01   0.59592660E-01    0.0000000
  6.0132047       0.74382760E-01   0.64597640E-01    0.0000000
  6.0438843       0.76245700E-01   0.72134710E-01    0.0000000
  6.0745639       0.79341335E-01   0.78983994E-01    0.0000000
  6.1052435       0.82097918E-01   0.80818966E-01    0.0000000
  6.1359232       0.83700253E-01   0.74543252E-01    0.0000000
  6.1666028       0.83911609E-01   0.59660856E-01    0.0000000
  6.1972824       0.82877874E-01   0.38232715E-01    0.0000000
  6.2279620       0.80974402E-01   0.13728464E-01    0.0000000
  6.2586416       0.78681442E-01  -0.10437420E-01    0.0000000
  6.2893212       0.76469866E-01  -0.31894739E-01    0.0000000
  6.3200008       0.74694835E-01  -0.49452238E-01    0.0000000
  6.3506805       0.73516031E-01  -0.62545867E-01    0.0000000
  6.3813601       0.72873057E-01  -0.70538401E-01    0.0000000
  6.4120397       0.72527675E-01  -0.72417008E-01    0.0000000
  6.4427193       0.72151066E-01  -0.67118785E-01    0.0000000
  6.4733989       0.71416379E-01  -0.54285978E-01    0.0000000
  6.5040785       0.70067130E-01  -0.34969420E-01    0.0000000
  6.5347582       0.67953065E-01  -0.11814081E-01    0.0000000
  6.5654378       0.65038659E-01   0.11453207E-01    0.0000000
  6.5961174       0.61392686E-01   0.31035187E-01    0.0000000
  6.6267970       0.57165635E-01   0.44121961E-01    0.0000000
  6.6574766       0.52559597E-01   0.49542903E-01    0.0000000
  6.6881562       0.47794166E-01   0.47793762E-01    0.0000000
  6.7188359       0.43072273E-01   0.40537178E-01    0.0000000
  6.7495155       0.38551247E-01   0.29896133E-01    0.0000000
  6.7801951       0.34325760E-01   0.17879523E-01    0.0000000
  6.8108747       0.30428612E-01   0.61178708E-02    0.0000000
  6.8415543       0.26850800E-01  -0.41328821E-02    0.0000000
  6.8722339       0.23574996E-01  -0.11901165E-01    0.0000000
  6.9029135       0.20610728E-01  -0.16492232E-01    0.0000000
  6.9335932       0.18018884E-01  -0.17601504E-01    0.0000000
  6.9642728       0.15915636E-01  -0.15445257E-01    0.0000000
  6.9949524       0.14447528E-01  -0.10758220E-01    0.0000000
  7.0256320       0.13736563E-01  -0.45886521E-02    0.0000000
  7.0563116       0.13824863E-01   0.20286139E-02    0.0000000
  7.0869912       0.14675045E-01   0.83324955E-02    0.0000000
  7.1176709       0.16226864E-01   0.13860145E-01    0.0000000
  7.1483505       0.18436972E-01   0.18215072E-01    0.0000000
  7.1790301       0.21264165E-01   0.20746985E-01    0.0000000
  7.2097097       0.24631663E-01   0.20413668E-01    0.0000000
  7.2403893       0.28405073E-01   0.16028156E-01    0.0000000
  7.2710689       0.32396223E-01   0.68761844E-02    0.0000000
  7.3017486       0.36384034E-01  -0.65641138E-02    0.0000000
  7.3324282       0.40141344E-01  -0.22205089E-01    0.0000000
  7.3631078       0.43460760E-01  -0.36563135E-01    0.0000000
  7.3937874       0.46176057E-01  -0.45658863E-01    0.0000000
  7.4244670       0.48177315E-01  -0.46321953E-01    0.0000000
  7.4551466       0.49418829E-01  -0.37389402E-01    0.0000000
  7.4858262       0.49919394E-01  -0.20289075E-01    0.0000000
  7.5165059       0.49755238E-01   0.12574990E-02    0.0000000
  7.5471855       0.49046570E-01   0.22313761E-01    0.0000000
  7.5778651       0.47939487E-01   0.38174996E-01    0.0000000
  7.6085447       0.46585689E-01   0.45650625E-01    0.0000000
  7.6392243       0.45122985E-01   0.43763210E-01    0.0000000
  7.6699039       0.43659610E-01   0.33717439E-01    0.0000000
  7.7005836       0.42264685E-01   0.18280066E-01    0.0000000
  7.7312632       0.40965679E-01   0.88593524E-03    0.0000000
  7.7619428       0.39752051E-01  -0.15206810E-01    0.0000000
  7.7926224       0.38583230E-01  -0.27508959E-01    0.0000000
  7.8233020       0.37399293E-01  -0.34591075E-01    0.0000000
  7.8539816       0.36133701E-01  -0.36127789E-01    0.0000000
  7.8846612       0.34728366E-01  -0.32771724E-01    0.0000000
  7.9153409       0.33151468E-01  -0.25901750E-01    0.0000000
  7.9460205       0.31417644E-01  -0.17263764E-01    0.0000000
  7.9767001       0.29608544E-01  -0.85396991E-02    0.0000000
  8.0073797       0.27888295E-01  -0.93407782E-03    0.0000000
  8.0380593       0.26501271E-01   0.50904952E-02    0.0000000
  8.0687389       0.25730684E-01   0.98165399E-02    0.0000000
  8.0994186       0.25804784E-01   0.13993559E-01    0.0000000
  8.1300982       0.26789056E-01   0.18383936E-01    0.0000000
  8.1607778       0.28552132E-01   0.23326461E-01    0.0000000
  8.1914574       0.30836970E-01   0.28506071E-01    0.0000000
  8.2221370       0.33367724E-01   0.33017052E-01    0.0000000
  8.2528166       0.35921682E-01   0.35664352E-01    0.0000000
  8.2834963       0.38353979E-01   0.35345203E-01    0.0000000
  8.3141759       0.40590778E-01   0.31347605E-01    0.0000000
  8.3448555       0.42605320E-01   0.23488622E-01    0.0000000
  8.3755351       0.44386220E-01   0.12130003E-01    0.0000000
  8.4062147       0.45906399E-01  -0.18308274E-02    0.0000000
  8.4368943       0.47101100E-01  -0.16934195E-01    0.0000000
  8.4675739       0.47861307E-01  -0.31145517E-01    0.0000000
  8.4982536       0.48043978E-01  -0.42002201E-01    0.0000000
  8.5289332       0.47495291E-01  -0.47058083E-01    0.0000000
  8.5596128       0.46080207E-01  -0.44620883E-01    0.0000000
  8.5902924       0.43711866E-01  -0.34561360E-01    0.0000000
  8.6209720       0.40376579E-01  -0.18810618E-01    0.0000000
  8.6516516       0.36153269E-01  -0.11795466E-02    0.0000000
  8.6823313       0.31230034E-01   0.13627448E-01    0.0000000
  8.7130109       0.25926390E-01   0.21557796E-01    0.0000000
  8.7436905       0.20740039E-01   0.20738372E-01    0.0000000
  8.7743701       0.16436519E-01   0.12310270E-01    0.0000000
  8.8050497       0.14040610E-01   0.11878546E-03    0.0000000
  8.8357293       0.14119053E-01  -0.10718940E-01    0.0000000
  8.8664090       0.15864813E-01  -0.15830285E-01    0.0000000
  8.8970886       0.17949625E-01  -0.13343582E-01    0.0000000
  8.9277682       0.19490643E-01  -0.46113735E-02    0.0000000
  8.9584478       0.20054583E-01   0.64369422E-02    0.0000000
  8.9891274       0.19487139E-01   0.15041535E-01    0.0000000
  9.0198070       0.17826947E-01   0.17688504E-01    0.0000000
  9.0504866       0.15288462E-01   0.13598379E-01    0.0000000
  9.0811663       0.12321516E-01   0.49819586E-02    0.0000000
  9.1118459       0.98228641E-02  -0.40164168E-02    0.0000000
  9.1425255       0.92778689E-02  -0.91791806E-02    0.0000000
  9.1732051       0.11334630E-01  -0.80323175E-02    0.0000000
  9.2038847       0.14819671E-01  -0.83166368E-03    0.0000000
  9.2345643       0.18575194E-01   0.96559554E-02    0.0000000
  9.2652440       0.21991574E-01   0.19397379E-01    0.0000000
  9.2959236       0.24752931E-01   0.24752855E-01    0.0000000
  9.3266032       0.26698728E-01   0.23819851E-01    0.0000000
  9.3572828       0.27772224E-01   0.16947206E-01    0.0000000
  9.3879624       0.27996152E-01   0.63256247E-02    0.0000000
  9.4186420       0.27454618E-01  -0.50344473E-02    0.0000000
  9.4493217       0.26274591E-01  -0.14421571E-01    0.0000000
  9.4800013       0.24605258E-01  -0.20183587E-01    0.0000000
  9.5106809       0.22595759E-01  -0.21928780E-01    0.0000000
  9.5413605       0.20373522E-01  -0.20258086E-01    0.0000000
  9.5720401       0.18027212E-01  -0.16295177E-01    0.0000000
  9.6027197       0.15599589E-01  -0.11277960E-01    0.0000000
  9.6333993       0.13095405E-01  -0.63339614E-02    0.0000000
  9.6640790       0.10508594E-01  -0.23956051E-02    0.0000000
  9.6947586       0.78806760E-02  -0.12877408E-03    0.0000000
  9.7254382       0.54614384E-02   0.20921076E-03    0.0000000
  9.7561178       0.42249319E-02  -0.10568250E-02    0.0000000
  9.7867974       0.54910246E-02  -0.29589172E-02    0.0000000
  9.8174770       0.82970587E-02  -0.40832989E-02    0.0000000
  9.8481567       0.11520190E-01  -0.30519547E-02    0.0000000
  9.8788363       0.14712422E-01   0.86341160E-03    0.0000000
  9.9095159       0.17629938E-01   0.72737757E-02    0.0000000
  9.9401955       0.20095464E-01   0.14617905E-01    0.0000000
  9.9708751       0.21973245E-01   0.20621189E-01    0.0000000
