# data from ifeffit
#------------------------
#   k         chi       chi_kw      win       win2
  4.5500000      -0.17760352E-01  -0.36768368        1.0000000        5.0000000
  4.6000000      -0.13089280E-01  -0.27696917        1.0000000        5.0000000
  4.6500000      -0.11527143E-01  -0.24924566        1.0000000        5.0000000
  4.7000000      -0.11975004E-01  -0.26452784        1.0000000        5.0000000
  4.7500000      -0.12449327E-01  -0.28088793        1.0000000        5.0000000
  4.8000000      -0.11468803E-01  -0.26424123        1.0000000        5.0000000
  4.8500000      -0.85746189E-02  -0.20169647        1.0000000        5.0000000
  4.9000000      -0.33510983E-02  -0.80459870E-01    1.0000000        5.0000000
  4.9500000       0.36772836E-02   0.90102641E-01    1.0000000        5.0000000
  5.0000000       0.11475160E-01   0.28687900        1.0000000        5.0000000
  5.0500000       0.17732493E-01   0.45222291        1.0000000        5.0000000
  5.1000000       0.20015214E-01   0.52059572        1.0000000        5.0000000
  5.1500000       0.17623377E-01   0.46741603        1.0000000        5.0000000
  5.2000000       0.11410816E-01   0.30854846        1.0000000        5.0000000
  5.2500000       0.26669037E-02   0.73506533E-01    1.0000000        5.0000000
  5.3000000      -0.74219178E-02  -0.20848167        1.0000000        5.0000000
  5.3500000      -0.17844367E-01  -0.51075039        1.0000000        5.0000000
  5.4000000      -0.27455670E-01  -0.80060735        1.0000000        5.0000000
  5.4500000      -0.33572058E-01  -0.99717406        1.0000000        5.0000000
  5.5000000      -0.34363391E-01   -1.0394926        1.0000000        5.0000000
  5.5500000      -0.27285901E-01  -0.84047398        1.0000000        5.0000000
  5.6000000      -0.18379567E-01  -0.57638322        1.0000000        5.0000000
  5.6500000      -0.68718152E-02  -0.21936552        1.0000000        5.0000000
  5.7000000       0.36186877E-02   0.11757116        1.0000000        5.0000000
  5.7500000       0.10307770E-01   0.34080064        1.0000000        5.0000000
  5.8000000       0.12959498E-01   0.43595750        1.0000000        5.0000000
  5.8500000       0.12716886E-01   0.43520364        1.0000000        5.0000000
  5.9000000       0.11578104E-01   0.40303379        1.0000000        5.0000000
  5.9500000       0.11198893E-01   0.39646881        1.0000000        5.0000000
  6.0000000       0.12558176E-01   0.45209434        1.0000000        5.0000000
  6.0500000       0.15447507E-01   0.56541736        1.0000000        5.0000000
  6.1000000       0.18858837E-01   0.70173731        1.0000000        5.0000000
  6.1500000       0.21684770E-01   0.82017221        1.0000000        5.0000000
  6.2000000       0.23729852E-01   0.91217552        1.0000000        5.0000000
  6.2500000       0.24379845E-01   0.95233770        1.0000000        5.0000000
  6.3000000       0.23005751E-01   0.91309827        1.0000000        5.0000000
  6.3500000       0.19837735E-01   0.79990706        1.0000000        5.0000000
  6.4000000       0.14883765E-01   0.60963902        1.0000000        5.0000000
  6.4500000       0.80356842E-02   0.33430455        1.0000000        5.0000000
  6.5000000       0.31664973E-03   0.13378451E-01    1.0000000        5.0000000
  6.5500000      -0.81249649E-02  -0.34858131        1.0000000        5.0000000
  6.6000000      -0.16135156E-01  -0.70284737        1.0000000        5.0000000
  6.6500000      -0.23041590E-01   -1.0189567        1.0000000        5.0000000
  6.7000000      -0.26994888E-01   -1.2118005        1.0000000        5.0000000
  6.7500000      -0.28018760E-01   -1.2766048        1.0000000        5.0000000
  6.8000000      -0.26618602E-01   -1.2308441        1.0000000        5.0000000
  6.8500000      -0.22499940E-01   -1.0557534        1.0000000        5.0000000
  6.9000000      -0.16819429E-01  -0.80077303        1.0000000        5.0000000
  6.9500000      -0.10807887E-01  -0.52204795        1.0000000        5.0000000
  7.0000000      -0.47875892E-02  -0.23459187        1.0000000        5.0000000
  7.0500000       0.53888382E-03   0.26783873E-01    1.0000000        5.0000000
  7.1000000       0.45795604E-02   0.23085564        1.0000000        5.0000000
  7.1500000       0.73823740E-02   0.37740542        1.0000000        5.0000000
  7.2000000       0.92246389E-02   0.47820528        1.0000000        5.0000000
  7.2500000       0.10374877E-01   0.54532946        1.0000000        5.0000000
  7.3000000       0.10835778E-01   0.57743863        1.0000000        5.0000000
  7.3500000       0.10622973E-01   0.57387957        1.0000000        5.0000000
  7.4000000       0.98474378E-02   0.53924569        1.0000000        5.0000000
  7.4500000       0.85483109E-02   0.47445262        1.0000000        5.0000000
  7.5000000       0.67682431E-02   0.38071367        1.0000000        5.0000000
  7.5500000       0.47143536E-02   0.26872994        1.0000000        5.0000000
  7.6000000       0.24275389E-02   0.14021465        1.0000000        5.0000000
  7.6500000       0.32151023E-03   0.18815583E-01    1.0000000        5.0000000
  7.7000000      -0.12960933E-02  -0.76845374E-01    1.0000000        5.0000000
  7.7500000      -0.22439907E-02  -0.13477969        1.0000000        5.0000000
  7.8000000      -0.24220580E-02  -0.14735801        1.0000000        5.0000000
  7.8500000      -0.24263218E-02  -0.14951601        1.0000000        5.0000000
  7.9000000      -0.27531852E-02  -0.17182629        1.0000000        5.0000000
  7.9500000      -0.33999044E-02  -0.21488246        1.0000000        5.0000000
  8.0000000      -0.40640216E-02  -0.26009739        1.0000000        5.0000000
  8.0500000      -0.45646951E-02  -0.29580365        1.0000000        5.0000000
  8.1000000      -0.47407716E-02  -0.31104202        1.0000000        5.0000000
  8.1500000      -0.39511408E-02  -0.26244465        1.0000000        5.0000000
  8.2000000      -0.31933788E-02  -0.21472279        1.0000000        5.0000000
  8.2500000      -0.19589977E-02  -0.13333428        1.0000000        5.0000000
  8.3000000      -0.62745758E-03  -0.43225553E-01    1.0000000        5.0000000
  8.3500000       0.14601027E-02   0.10180201        1.0000000        5.0000000
  8.4000000       0.31613051E-02   0.22306169        1.0000000        5.0000000
  8.4500000       0.44542917E-02   0.31804757        1.0000000        5.0000000
  8.5000000       0.53497146E-02   0.38651688        1.0000000        5.0000000
  8.5500000       0.55652029E-02   0.40683024        1.0000000        5.0000000
  8.6000000       0.49812258E-02   0.36841146        1.0000000        5.0000000
  8.6500000       0.38537940E-02   0.28835050        1.0000000        5.0000000
  8.7000000       0.21983538E-02   0.16639340        1.0000000        5.0000000
  8.7500000       0.33912110E-03   0.25963959E-01    1.0000000        5.0000000
  8.8000000      -0.17985287E-02  -0.13927806        1.0000000        5.0000000
  8.8500000      -0.34415737E-02  -0.26955265        1.0000000        5.0000000
  8.9000000      -0.42763138E-02  -0.33872682        1.0000000        5.0000000
  8.9500000      -0.47146872E-02  -0.37765823        1.0000000        5.0000000
  9.0000000      -0.46416372E-02  -0.37597261        1.0000000        5.0000000
  9.0500000      -0.19954600E-02  -0.16343316        1.0000000        5.0000000
  9.1000000      -0.22784363E-02  -0.18867731        1.0000000        5.0000000
  9.1500000      -0.34829934E-02  -0.29160492        1.0000000        5.0000000
  9.2000000      -0.27463715E-02  -0.23245288        1.0000000        5.0000000
  9.2500000      -0.19104465E-02  -0.16346258        1.0000000        5.0000000
  9.3000000      -0.92803391E-03  -0.80265653E-01    1.0000000        5.0000000
  9.3500000       0.21233897E-03   0.18563204E-01    1.0000000        5.0000000
  9.4000000       0.14025614E-02   0.12393033        1.0000000        5.0000000
  9.4500000       0.25582042E-02   0.22845403        1.0000000        5.0000000
  9.5000000       0.34122514E-02   0.30795569        1.0000000        5.0000000
  9.5500000       0.39352416E-02   0.35890387        1.0000000        5.0000000
  9.6000000       0.41176881E-02   0.37948614        1.0000000        5.0000000
  9.6500000       0.40421554E-02   0.37641562        1.0000000        5.0000000
  9.7000000       0.37942274E-02   0.35699885        1.0000000        5.0000000
  9.7500000       0.29270310E-02   0.27825088        1.0000000        5.0000000
  9.8000000       0.16335261E-02   0.15688385        1.0000000        5.0000000
  9.8500000       0.39692358E-03   0.38510518E-01    1.0000000        5.0000000
  9.9000000      -0.80287448E-03  -0.78689728E-01    1.0000000        5.0000000
  9.9500000      -0.15637067E-02  -0.15481087        1.0000000        5.0000000
  10.000000      -0.19514877E-02  -0.19514877        1.0000000        5.0000000
  10.050000      -0.20511979E-02  -0.20717612        1.0000000        5.0000000
  10.100000      -0.17861761E-02  -0.18220783        1.0000000        5.0000000
  10.150000      -0.15878828E-02  -0.16358765        1.0000000        5.0000000
  10.200000      -0.14256269E-02  -0.14832223        1.0000000        5.0000000
  10.250000      -0.12477059E-02  -0.13108710        1.0000000        5.0000000
  10.300000      -0.12192502E-02  -0.12935025        1.0000000        5.0000000
  10.350000      -0.11596586E-02  -0.12422552        1.0000000        5.0000000
  10.400000      -0.10534964E-02  -0.11394618        1.0000000        5.0000000
  10.450000      -0.88999238E-03  -0.97189393E-01    1.0000000        5.0000000
  10.500000      -0.55269960E-03  -0.60935131E-01    1.0000000        5.0000000
  10.550000      -0.86466698E-03  -0.96239597E-01    1.0000000        5.0000000
  10.600000      -0.91291966E-03  -0.10257565        1.0000000        5.0000000
  10.650000       0.60477993E-03   0.68595652E-01    1.0000000        5.0000000
  10.700000       0.79715045E-03   0.91265755E-01    1.0000000        5.0000000
  10.750000       0.12104814E-02   0.13988626        1.0000000        5.0000000
  10.800000       0.15846491E-02   0.18483347        1.0000000        5.0000000
  10.850000       0.15423803E-02   0.18157287        1.0000000        5.0000000
  10.900000       0.13326287E-02   0.15832962        1.0000000        5.0000000
  10.950000       0.10483882E-02   0.12570436        1.0000000        5.0000000
  11.000000       0.75111048E-03   0.90884368E-01    1.0000000        5.0000000
  11.050000       0.44371484E-03   0.54178691E-01    1.0000000        5.0000000
  11.100000       0.14753724E-03   0.18178063E-01    1.0000000        5.0000000
  11.150000       0.54660283E-04   0.67955030E-02    1.0000000        5.0000000
  11.200000      -0.47496407E-04  -0.59579493E-02    1.0000000        5.0000000
  11.250000      -0.33664552E-03  -0.42606699E-01    1.0000000        5.0000000
  11.300000      -0.47230833E-03  -0.60309051E-01    1.0000000        5.0000000
  11.350000      -0.56684623E-03  -0.73022548E-01    1.0000000        5.0000000
  11.400000      -0.68386090E-03  -0.88874563E-01    1.0000000        5.0000000
  11.450000      -0.63124529E-03  -0.82757835E-01    1.0000000        5.0000000
  11.500000      -0.58003003E-03  -0.76708971E-01    1.0000000        5.0000000
  11.550000      -0.59600525E-03  -0.79508591E-01    1.0000000        5.0000000
  11.600000      -0.45492493E-03  -0.61214699E-01    1.0000000        5.0000000
  11.650000      -0.36741285E-03  -0.49866191E-01    1.0000000        5.0000000
  11.700000      -0.41991344E-03  -0.57481951E-01    1.0000000        5.0000000
  11.750000       0.10062762E-03   0.13892900E-01    1.0000000        5.0000000
  11.800000       0.19068133E-03   0.26550468E-01    1.0000000        5.0000000
  11.850000       0.34562976E-03   0.48534196E-01    1.0000000        5.0000000
  11.900000       0.54315284E-03   0.76915873E-01    1.0000000        5.0000000
  11.950000       0.49372048E-03   0.70504519E-01    1.0000000        5.0000000
  12.000000       0.31770030E-03   0.45748843E-01    1.0000000        5.0000000
  12.050000       0.30302096E-03   0.43999400E-01    1.0000000        5.0000000
  12.100000       0.25068910E-03   0.36703391E-01    1.0000000        5.0000000
  12.150000       0.21240534E-03   0.31355808E-01    1.0000000        5.0000000
  12.200000       0.72504556E-04   0.10791578E-01    1.0000000        5.0000000
  12.250000      -0.22568695E-04  -0.33867148E-02   1.00000000        5.0000000
  12.300000      -0.31663135E-05  -0.47903157E-03   0.99726087        4.9863044
  12.350000      -0.84307451E-04  -0.12858783E-01   0.98907366        4.9453683
  12.400000      -0.23798418E-03  -0.36592448E-01   0.97552805        4.8776403
  12.450000      -0.27473610E-03  -0.42584783E-01   0.95677247        4.7838624
  12.500000      -0.20619467E-03  -0.32217917E-01   0.93301240        4.6650620
  12.550000      -0.17691366E-03  -0.27864343E-01   0.90450815        4.5225408
  12.600000      -0.23381782E-03  -0.37120918E-01   0.87157204        4.3578602
  12.650000      -0.25637793E-03  -0.41026237E-01   0.83456490        4.1728245
  12.700000      -0.20080207E-03  -0.32387366E-01   0.79389221        3.9694611
  12.750000      -0.12490881E-03  -0.20305489E-01   0.74999958        3.7499979
  12.800000       0.78962409E-04   0.12937201E-01   0.70336790        3.5168395
  12.850000       0.31707665E-03   0.52356489E-01   0.65450808        3.2725404
  12.900000       0.34149094E-03   0.56827508E-01   0.60395544        3.0197772
  12.950000       0.33482557E-03   0.56151085E-01   0.55226384        2.7613192
  13.000000       0.30788715E-03   0.52032929E-01   0.49999963        2.4999982
  13.050000       0.27551731E-03   0.46921287E-01   0.44773543        2.2386771
  13.100000       0.18086839E-03   0.31038825E-01   0.39604384        1.9802192
  13.150000       0.15946949E-03   0.27575862E-01   0.34549122        1.7274561
  13.200000       0.11307509E-03   0.19702204E-01   0.29663143        1.4831572
  13.250000       0.59734813E-04   0.10487193E-01   0.24999979        1.2499989
  13.300000       0.39681790E-04   0.70193118E-02   0.20610720        1.0305360
  13.350000       0.70593869E-04   0.12581416E-01   0.16543455       0.82717276
  13.400000       0.27846239E-04   0.50000707E-02   0.12842747       0.64213736
  13.450000       0.46729325E-05   0.84534518E-03   0.95491417E-01   0.47745708
  13.500000      -0.17585083E-03  -0.32048813E-01   0.66987237E-01   0.33493619
  13.550000      -0.19047917E-03  -0.34972451E-01   0.43227231E-01   0.21613616
  13.600000      -0.11936328E-03  -0.22077432E-01   0.24471719E-01   0.12235860
  13.650000      -0.15455905E-03  -0.28797829E-01   0.10926189E-01   0.54630947E-01
  13.700000      -0.18996251E-03  -0.35654063E-01   0.27390498E-02   0.13695249E-01
  13.750000      -0.94018525E-04  -0.17775377E-01    0.0000000        0.0000000
  13.800000      -0.14568346E-03  -0.27743957E-01    0.0000000        0.0000000
  13.850000      -0.19013999E-03  -0.36473129E-01    0.0000000        0.0000000
  13.900000      -0.15756650E-03  -0.30443424E-01    0.0000000        0.0000000
  13.950000      -0.10698165E-03  -0.20818896E-01    0.0000000        0.0000000
  14.000000       0.11660224E-04   0.22854038E-02    0.0000000        0.0000000
  14.050000       0.12914487E-04   0.25493520E-02    0.0000000        0.0000000
  14.100000      -0.13944944E-03  -0.27723943E-01    0.0000000        0.0000000
